# Inventario de endpoints — focux-backend @ 66ba467
# Recebido do agente de auditoria do backend em 2026-09-02. Nao editar a mao:
# regerar no repo do backend e substituir este arquivo inteiro.
#
# Formato: VERBO<TAB>path<TAB>flags<TAB>arquivo:linha
# TOTAL: 432 endpoints em 110 controllers
#
# flags (concatenadas, sem separador; a 1a e sempre A, C ou -):
#   A = @PreAuthorize no proprio metodo
#   C = @PreAuthorize herdado da classe
#   - = sem @PreAuthorize algum (37 casos; todos publicos por desenho)
#   R = @RateLimit e/ou @RateLimiter
#   O = @Operation (springdoc) com descricao
#   T = @Transactional no metodo do controller
#   P = devolve Page<> ou DTO de pagina (tem metadados de paginacao)
#   L = devolve List<> cru (sem paginacao)
#   M = devolve Map<> (contrato nao tipado)
#   E = devolve entidade JPA direto (sem DTO)
#
# Origem do tenant: 100% TenantContext. Zero endpoints aceitam personalId
# ou tenantId por path, query ou body — conferido nos 110 controllers.
GET	/	-	PublicLandingPageController.java:48
GET	/.well-known/apple-app-site-association	-	DeepLinkController.java:36
GET	/.well-known/assetlinks.json	-	DeepLinkController.java:78
POST	/api/agenda	CRO	AgendamentoController.java:49
GET	/api/agenda/aluno/ical/me	AT	IcalExportController.java:72
POST	/api/agenda/aluno/ical/rotate	AT	IcalExportController.java:89
GET	/api/agenda/aluno/meus	AROL	AgendamentoController.java:124
GET	/api/agenda/home	CRO	AgendaHomeController.java:40
GET	/api/agenda/ical/me	AT	IcalExportController.java:44
POST	/api/agenda/ical/rotate	AT	IcalExportController.java:59
GET	/api/agenda/ocupacao	CROL	AgendamentoController.java:109
GET	/api/agenda/periodo	CROL	AgendamentoController.java:40
GET	/api/agenda/semana	CROL	AgendamentoController.java:102
DELETE	/api/agenda/{id}	CRO	AgendamentoController.java:89
PATCH	/api/agenda/{id}	CRO	AgendamentoController.java:62
POST	/api/agenda/{id}/confirmar	ARO	AgendamentoController.java:132
PUT	/api/agenda/{id}/status	CRO	AgendamentoController.java:77
PATCH	/api/agenda/{id}/status-atendimento	CRO	AgendamentoController.java:116
GET	/api/alertas/aluno/{alunoId}/detalhe	CRO	AlertasController.java:49
POST	/api/alertas/aluno/{alunoId}/mensagem-chat	CRO	AlertasController.java:77
POST	/api/alertas/aluno/{alunoId}/resolver	CRO	AlertasController.java:69
POST	/api/alertas/aluno/{alunoId}/sugestao-ia	CRO	AlertasController.java:60
GET	/api/alertas/configuracao	CRO	AlertasController.java:32
PUT	/api/alertas/configuracao	CRO	AlertasController.java:40
GET	/api/alertas/home	CRO	AlertasHomeController.java:40
GET	/api/aluno/anamnese	C	AlunoAppController.java:72
PUT	/api/aluno/anamnese	CR	AlunoAppController.java:77
POST	/api/aluno/autonomia/eventos	C	AlunoAppController.java:99
GET	/api/aluno/evolucao	C	AlunoAppController.java:83
GET	/api/aluno/me	C	AlunoAppController.java:62
PUT	/api/aluno/me	C	AlunoAppController.java:67
POST	/api/aluno/me/foto	CR	AlunoAppController.java:118
GET	/api/aluno/medidas	CL	AlunoAppController.java:88
POST	/api/aluno/medidas	C	AlunoAppController.java:93
GET	/api/aluno/perfil/home	CRO	AlunoPerfilHomeController.java:40
GET	/api/aluno/personal-brand	C	AlunoAppController.java:57
GET	/api/aluno/saude/recovery	C	AlunoHealthController.java:32
POST	/api/aluno/saude/sync	C	AlunoHealthController.java:23
GET	/api/alunos	CL	AlunoController.java:71
POST	/api/alunos	CRO	AlunoController.java:63
GET	/api/alunos/home	CRO	AlunosHomeController.java:42
POST	/api/alunos/lote/atribuir-treino	C	AlunoController.java:155
PATCH	/api/alunos/lote/status	CR	AlunoController.java:161
GET	/api/alunos/{alunoId}/anamnese	C	AnamneseController.java:18
PUT	/api/alunos/{alunoId}/anamnese	CR	AnamneseController.java:23
GET	/api/alunos/{alunoId}/avaliacoes	CL	AvaliacaoController.java:21
POST	/api/alunos/{alunoId}/avaliacoes	C	AvaliacaoController.java:26
GET	/api/alunos/{alunoId}/avaliacoes/comparativo	CRO	AvaliacaoController.java:32
DELETE	/api/alunos/{alunoId}/avaliacoes/{avId}	C	AvaliacaoController.java:44
PUT	/api/alunos/{alunoId}/avaliacoes/{avId}	C	AvaliacaoController.java:39
GET	/api/alunos/{alunoId}/engajamento	CR	EngajamentoController.java:25
GET	/api/alunos/{alunoId}/evolucao	C	EvolucaoController.java:26
POST	/api/alunos/{alunoId}/evolucao/compartilhar	CRO	EvolucaoController.java:55
GET	/api/alunos/{alunoId}/evolucao/home	CRO	EvolucaoHomeController.java:41
GET	/api/alunos/{alunoId}/fotos	CL	EvolucaoController.java:62
POST	/api/alunos/{alunoId}/fotos	C	EvolucaoController.java:67
GET	/api/alunos/{alunoId}/medidas	CL	EvolucaoController.java:31
POST	/api/alunos/{alunoId}/medidas	C	EvolucaoController.java:36
GET	/api/alunos/{alunoId}/recordes	CL	EvolucaoController.java:43
POST	/api/alunos/{alunoId}/recordes	C	EvolucaoController.java:48
GET	/api/alunos/{alunoId}/treinos	CRL	TreinoController.java:87
DELETE	/api/alunos/{alunoId}/treinos/{treinoId}	CR	TreinoController.java:145
DELETE	/api/alunos/{id}	CR	AlunoController.java:176
GET	/api/alunos/{id}	C	AlunoController.java:76
PUT	/api/alunos/{id}	CRO	AlunoController.java:168
GET	/api/alunos/{id}/360	CRO	AlunoController.java:81
GET	/api/alunos/{id}/aderencia-semanal	C	AlunoController.java:190
GET	/api/alunos/{id}/autonomia/eventos	CL	AlunoController.java:115
GET	/api/alunos/{id}/autonomia/resumo	C	AlunoController.java:120
POST	/api/alunos/{id}/contato-realizado	CR	AlunoController.java:210
PATCH	/api/alunos/{id}/equipamentos	CR	AlunoController.java:216
GET	/api/alunos/{id}/evolucao-inteligente	CR	AlunoController.java:125
PATCH	/api/alunos/{id}/follow-up	CR	AlunoController.java:201
POST	/api/alunos/{id}/gerar-senha-provisoria	CR	AlunoController.java:195
GET	/api/alunos/{id}/historico-mensalidades	CL	AlunoController.java:110
PATCH	/api/alunos/{id}/operacao-focus	C	AlunoController.java:226
PATCH	/api/alunos/{id}/status-financeiro	C	AlunoController.java:183
GET	/api/alunos/{id}/timeline-360	CRL	AlunoController.java:131
GET	/api/alunos/{id}/timeline-360/page	CRP	AlunoController.java:140
GET	/api/analytics	C	AnalyticsController.java:37
GET	/api/analytics/cohort	C	AnalyticsController.java:85
POST	/api/analytics/evento	C	AnalyticsController.java:95
GET	/api/analytics/funil	C	AnalyticsController.java:69
GET	/api/analytics/home	C	AnalyticsController.java:46
GET	/api/analytics/wau	C	AnalyticsController.java:77
GET	/api/auditoria	CPE	AuditoriaController.java:22
GET	/api/auditoria/recentes	CLE	AuditoriaController.java:30
GET	/api/auditoria/recurso/{recurso}	CLE	AuditoriaController.java:36
POST	/api/auth/aluno/definir-senha	-R	AuthController.java:272
GET	/api/auth/capabilities	-	AuthController.java:43
POST	/api/auth/email/enviar-codigo	-RO	AuthController.java:168
GET	/api/auth/environment-status	-	AuthController.java:51
POST	/api/auth/esqueci-senha	-RO	AuthController.java:214
POST	/api/auth/google	-R	AuthController.java:161
POST	/api/auth/login	-RO	AuthController.java:190
